trial,phase,is_a,approach,correct,reward,p_approach,arousal
80,2,0,1,1,1.0,0.314453,0.6454
81,2,0,1,1,1.0,0.382544,0.8578
82,2,0,0,0,0.0,0.449979,0.8078
83,2,0,1,1,1.0,0.448298,1.0000
84,2,0,0,0,0.0,0.491597,0.9418
85,2,1,0,1,0.0,0.375057,0.8869
86,2,1,0,1,0.0,0.355985,0.8352
87,2,1,1,0,-1.0,0.354562,1.0000
88,2,0,1,1,1.0,0.469338,1.0000
89,2,0,1,1,1.0,0.523547,1.0000
90,2,0,1,1,1.0,0.560795,1.0000
91,2,1,1,0,-1.0,0.379553,1.0000
92,2,1,0,1,0.0,0.358260,0.9418
93,2,0,1,1,1.0,0.561928,1.0000
94,2,1,1,0,-1.0,0.365573,1.0000
95,2,1,0,1,0.0,0.323503,0.9418
96,2,0,1,1,1.0,0.559613,1.0000
97,2,1,0,1,0.0,0.316465,0.9418
98,2,1,0,1,0.0,0.340994,0.8869
99,2,1,0,1,0.0,0.331822,0.8352
100,2,1,1,0,-1.0,0.336903,1.0000
1,3,0,1,0,-1.0,0.594581,0.5101
2,3,0,0,1,0.0,0.519751,0.4804
3,3,0,1,0,0.0,0.526663,0.4524
4,3,1,0,0,0.0,0.251332,0.4260
5,3,0,0,1,0.0,0.504291,0.4012
6,3,0,1,0,0.0,0.533971,0.3778
7,3,1,0,0,0.0,0.239282,0.3558
8,3,0,1,0,-1.0,0.501633,0.6351
9,3,1,0,0,0.0,0.265905,0.5981
10,3,1,0,0,0.0,0.254749,0.5633
11,3,0,0,1,0.0,0.441923,0.5305
12,3,0,1,0,-1.0,0.425275,0.7996
13,3,1,0,0,0.0,0.271291,0.7530
14,3,1,0,0,0.0,0.274301,0.7091
15,3,0,0,1,0.0,0.405756,0.6678
16,3,0,0,1,0.0,0.393475,0.6289
17,3,1,1,1,1.0,0.266805,0.8423
18,3,1,1,1,1.0,0.307341,1.0000
19,3,0,0,1,0.0,0.434847,0.9418
20,3,1,1,1,1.0,0.368440,1.0000
21,3,1,0,0,0.0,0.431644,0.9418
22,3,1,1,1,1.0,0.429504,1.0000
23,3,0,0,1,0.0,0.491340,0.9418
24,3,0,1,0,-1.0,0.509541,1.0000
25,3,0,1,0,-1.0,0.431422,1.0000
26,3,1,1,1,1.0,0.422608,1.0000
