trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
179,0,1,-1.0,0.165371,-0.356136,0.067500,0
180,1,1,1.0,0.833719,0.354687,0.094500,1
181,1,0,0.0,0.856360,0.392784,0.073500,0
182,1,1,1.0,0.847633,0.377555,0.083500,1
183,1,1,1.0,0.850647,0.382730,0.084000,1
184,1,1,1.0,0.841757,0.367699,0.083500,1
185,1,1,0.0,0.846932,0.376362,0.094500,1
186,1,1,0.0,0.853657,0.387987,0.074500,1
187,0,0,0.0,0.164782,-0.357075,0.063500,1
188,0,0,0.0,0.202072,-0.302146,0.096500,1
189,1,1,1.0,0.842992,0.369745,0.091000,1
190,0,0,0.0,0.200321,-0.304544,0.084000,1
191,1,1,0.0,0.846327,0.375337,0.088000,1
192,0,1,-1.0,0.184441,-0.327039,0.083500,0
193,1,1,1.0,0.855420,0.391107,0.081500,1
194,0,1,-1.0,0.209793,-0.291758,0.073000,0
195,0,1,0.0,0.196089,-0.310402,0.086000,0
196,1,1,1.0,0.839094,0.363331,0.076000,1
197,0,0,0.0,0.148445,-0.384307,0.081000,1
198,0,1,-1.0,0.185116,-0.326054,0.090500,0
199,1,1,1.0,0.844670,0.372547,0.084000,1
200,1,1,1.0,0.831190,0.350699,0.079500,1
