trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
176,1,1,1.0,0.827530,0.345009,0.090000,1
177,1,1,1.0,0.836827,0.359657,0.096000,1
178,0,0,0.0,0.190585,-0.318167,0.084000,1
179,0,1,-1.0,0.170308,-0.348358,0.073000,0
180,0,0,0.0,0.149641,-0.382232,0.089000,1
181,1,1,1.0,0.812453,0.322526,0.084500,1
182,1,0,0.0,0.838798,0.362849,0.077500,0
183,0,0,0.0,0.148350,-0.384472,0.083000,1
184,1,1,1.0,0.823207,0.338411,0.084500,1
185,0,0,0.0,0.171071,-0.347172,0.083000,1
186,1,0,0.0,0.834140,0.355357,0.080000,0
187,0,0,0.0,0.142216,-0.395341,0.063500,1
188,0,0,0.0,0.175670,-0.340113,0.096500,1
189,1,1,1.0,0.827005,0.344201,0.091000,1
190,0,0,0.0,0.171622,-0.346319,0.084000,1
191,1,1,0.0,0.835515,0.357551,0.088000,1
192,0,1,-1.0,0.161143,-0.362945,0.083500,0
193,1,1,1.0,0.848883,0.379690,0.081500,1
194,0,1,-1.0,0.185262,-0.325841,0.073000,0
195,0,0,0.0,0.166902,-0.353704,0.086000,1
196,0,0,0.0,0.178190,-0.336305,0.088000,1
197,0,0,0.0,0.185356,-0.325704,0.087500,1
198,0,0,0.0,0.154750,-0.373521,0.081500,1
199,0,0,0.0,0.145090,-0.390201,0.083500,1
200,0,0,0.0,0.160236,-0.364423,0.089500,1
